name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
aaepsv-client-3.7.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
activation-1.1.1.jar,CDDL-1.0,Copyright non presente,,,Java,,,
activation-1.1.jar,CDDL-1.0,Copyright non presente,,,Java,,,
aopalliance-repackaged-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
apache-mime4j-0.6.jar,Apache-2.0,Copyright non presente,,,Java,,,
batik-css-1.14.jar,Apache-2.0,Copyright non presente,,,Java,,,
batik-svg-dom-1.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
batik-all-1.13.jar,"Apache-2.0",Copyright non presente,,,Java,,,
batik-ext-1.14.jar,"Apache-2.0",Copyright non presente,,,Java,,,
batik-svgpp-1.13.jar,"Apache-2.0",Copyright non presente,,,Java,,,
bcpkix-jdk15on-1.68.jar,"BouncyCastle License",Copyright non presente,,,Java,,,
bcprov-jdk15on-1.68.jar,"BouncyCastle License",Copyright non presente,,,Java,,,
cache-api-1.0.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
checker-compat-qual-2.5.5.jar,"MIT, GPL-2.0",Copyright non presente,,,Java,,,
checker-qual-3.12.0.jar,"MIT",Copyright non presente,,,Java,,,
commons-beanutils-1.9.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-codec-1.6.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-collections-3.2.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-collections4-4.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-compress-1.20.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-io-2.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-io-1.3.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-lang-2.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-lang3-3.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-logging-1.1.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-math3-3.6.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-text-1.8.jar,Apache-2.0,Copyright non presente,,,Java,,,
csi-apachesoap-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
csi-core-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
csi-stadapter-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
curvesapi-1.06.jar,BSD LICENSE,Copyright non presente,,,Java,,,
error_prone_annotations-2.7.1.jar,"Apache-2.0",Copyright non presente,,,Java,,,
failureaccess-1.0.1.jar,"Apache-2.0",Copyright non presente,,,Java,,,
FastInfoset-1.2.12.jar,"Apache-2.0",Copyright non presente,,,Java,,,
fontbox-2.0.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
graphics2d-0.30.jar,Apache-2.0,Copyright non presente,,,Java,,,
gson-2.8.1.jar,Apache-2.0,Google,,,Java,,,
gson-fire-1.8.0.jar,MIT,Copyright non presente,,,Java,,,
guava-25.0-jre.jar,Apache-2.0,Copyright non presente,,,Java,,,
guava-18.0.jar,"Apache-2.0",Copyright non presente,,,Java,,,
guava-31.0.1-android.jar,"Apache-2.0",Copyright non presente,,,Java,,,
hk2-api-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
hk2-locator-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
hk2-utils-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
hk2-utils-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
httpclient-4.3.6.jar,Apache-2.0,Copyright non presente,,,Java,,,
httpcore-4.3.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
icu4j-59.1.jar,ICU,Unicode,,,Java,,,http://source.icu-project.org/repos/icu/trunk/icu4j/main/shared/licenses/LICENSE
iridev2-pep-intf-2.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
istack-commons-runtime-2.16.jar,"CDDL, GPL-1.1",Copyright non presente,,,Java,,,
iupsv-cxfclient-1.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",Copyright non presente,,,Java,,,
j2objc-annotations-1.3.jar,"Apache-2.0",Copyright non presente,,,Java,,,
jackson-annotations-2.13.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-annotations-2.8.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-annotations-2.6.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-core-2.13.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-core-2.8.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-core-2.6.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-core-asl-1.1.0.jar,"Apache-2.0",Copyright non presente,,,Java,,,
jackson-coreutils-1.0.jar,LGPL-3.0,Copyright non presente,,,Java,,,
jackson-databind-2.13.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-databind-2.8.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-databind-2.6.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-dataformat-yaml-2.13.2.jar,"Apache-2.0",Copyright non presente,,,Java,,,
jackson-jaxrs-base-2.6.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-jaxrs-base-2.8.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-jaxrs-json-provider-2.6.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-jaxrs-json-provider-2.8.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-module-jaxb-annotations-2.6.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-module-jaxb-annotations-2.8.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
jakarta.activation-api-1.2.1.jar,"EDL-1.0 (BSD-3-Clause)",Copyright non presente,,,Java,,,
jakarta.xml.bind-api-2.3.2.jar,"EDL-1.0 (BSD-3-Clause)",Copyright non presente,,,Java,,,
javaee-api-8.0.1.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,https://javaee.github.io/glassfish/LICENSE
javaee-web-api-8.0.1.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,https://javaee.github.io/glassfish/LICENSE
javassist-3.20.0-GA.jar,"MPL-1.1, LGPL-2.1, Apache-2.0",Copyright non presente,,,Java,,,
javassist-3.21.0-GA.jar,"MPL-1.1, LGPL-2.1, Apache-2.0",Copyright non presente,,,Java,,,
javax.activation-api-1.2.0.jar,CDDL-1.1,Copyright non presente,,,Java,,,-
javax.annotation-api-1.3.2.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,https://github.com/javaee/javax.annotation/blob/master/LICENSE
javax.annotation-api-1.2.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,https://github.com/javaee/javax.annotation/blob/master/LICENSE
javax.inject-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
javax.jms-api-2.0.1.jar,"CDDL 1.0, GPL-1.1, GPL 2.0",Copyright non presente,,,Java,,,
javax.jws-api-1.1.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html
javax.mail-1.5.5.jar,CDDL-1.1,Copyright non presente,,,Java,,,http://www.opensource.org/licenses/cpl1.0.txt
javax.mail-1.6.2.jar,CDDL-1.1,Copyright non presente,,,Java,,,http://www.opensource.org/licenses/cpl1.0.txt
javax.ws.rs-api-2.0.1.jar,"CDDL-1.1, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,
javax.xml.soap-api-1.4.0.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,https://github.com/javaee/javax.xml.soap/blob/master/LICENSE
jaxb-api-2.3.1.jar,"CDDL-1.1, GPL-1.1",Copyright non presente,,,Java,,,
jaxb-core-2.2.7.jar,"CDDL-1.1, GPL-1.1",Copyright non presente,,,Java,,,
jaxb-impl-2.2.7.jar,"CDDL-1.1, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,
jaxws-api-2.3.1.jar,"CDDL, GPL-2.0 w/cpe",Copyright non presente,,,Java,,,
jboss-annotations-api_1.3_spec-1.0.1.Final.jar,CDDL-1.1,Copyright non presente,,,Java,,,
jboss-jaxb-api_2.3_spec-1.0.1.Final.jar,"CDDL, GPL-2.0 w/cpe",Redhat,,,Java,,,
jboss-jaxrs-api_2.1_spec-1.0.2.Final.jar,CDDL-1.0,Redhat,,,Java,,,
jboss-logging-3.4.0.Final.jar,Apache-2.0,Redhat,,,Java,,,
jcip-annotations-1.0.jar,Public Domain,Copyright non presente,,,Java,,,
jcl-over-slf4j-1.7.30.jar,"MIT",Copyright non presente,,,Java,,,
jersey-common-2.25.1.jar,"CDDL, GPL-1.1",Copyright non presente,,,Java,,,
jersey-guava-2.25.1.jar,"CDDL, GPL-1.1",Copyright non presente,,,Java,,,
jeuclid-core-3.1.12.jar,Apache-2.0,Copyright non presente,,,Java,,,
joda-time-2.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
json-patch-1.3.jar,LGPL-3.0,Copyright non presente,,,Java,,,
jsr173_api-1.0.jar,"CDDL-1.0",Copyright non presente,,,Java,,,
jsr305-3.0.2.jar,"Apache-2.0",Copyright non presente,,,Java,,,
jsr311-api-1.1.1.jar,"CDDL-1.0",Copyright non presente,,,Java,,,
jxl-2.6.12.jar,LGPL-3.0,Copyright non presente,,,Java,,,http://www.opensource.org/licenses/lgpl-license.php
listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,"Apache-2.0",Copyright non presente,,,Java,,,
log4j-1.2.14.jar,Apache-2.0,Copyright non presente,,,Java,,,
log4j-api-2.13.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
log4j-api-2.16.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
logging-interceptor-2.7.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
mapstruct-1.3.1.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
okhttp-2.7.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
okio-1.6.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
openhtmltopdf-core-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-java2d-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-mathml-support-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-pdfbox-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-rtl-support-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-slf4j-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-svg-support-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
pdfbox-2.0.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
poi-5.0.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
reflections-0.9.11.jar,"BSD, WTFPL: http://www.wtfpl.net/",Copyright non presente,,,Java,,,
reactive-streams-1.0.2.jar,CC0,Copyright non presente,,,Java,,,
resteasy-client-3.0.17.Final.jar,"Apache-2.0",Copyright non presente,,,Java,,,
resteasy-jackson2-provider-3.0.17.Final.jar,"Apache-2.0",Copyright non presente,,,Java,,,
resteasy-jaxrs-3.0.17.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
serializer-2.7.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
silpsvaa-cxfclient-3.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
silpsval-cxfclient-3.4.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
slf4j-api-1.7.25.jar,MIT,Copyright non presente,,,Java,,,
snakeyaml-1.30.jar,"Apache-2.0",Copyright non presente,,,Java,,,
soap-2.3.1.jar,Libreria Java di Base,Copyright non presente,,,Java,,,
SparseBitSet-1.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
spicom-client-2.13.2.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
stax2-api-4.2.jar,"BSD",Copyright non presente,,,Java,,,
swagger-core-1.6.6.jar,"Apache-2.0",Copyright non presente,,,Java,,,
swagger-annotations-1.5.18.jar,Apache-2.0,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar,BSD-3-clause,Copyright non presente,,,Java,,,
util-perf-1.0.1.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
validation-api-1.1.o.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
woodstox-core-5.2.1.jar,"Apache-2.0",Copyright non presente,,,Java,,,
wsdl4j-1.6.3.jar,CPL-1.0,Copyright non presente,,,Java,,,
xalan-2.7.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
xml-apis-1.4.01.jar,Apache-2.0,Copyright non presente,,,Java,,,
xml-apis-ext-1.3.04.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmlbeans-4.0.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmlgraphics-commons-2.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmlsec-2.2.1.jar,"Apache-2.0",Copyright non presente,,,Java,,,
xmpbox-2.0.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
